,mse_score,trial_id,return_period,seq_len,lr,momentum,optim_type,num_layers,hidden_size,num_fc_layers,activation_type
681,0.03435981843933022,011e8_00681,2,2,0.001,0.21029880933905104,2,2,32,1,1
1794,0.034363818026662475,011e8_01794,3,2,0.1,0.4083772144025323,2,2,64,1,1
29,0.03439189965848054,011e8_00029,2,2,0.01,0.25333159172988995,1,1,128,1,3
1771,0.03440288948553604,011e8_01771,3,2,0.01,0.6037176238996329,2,2,8,1,2
502,0.034405970758446494,011e8_00502,2,2,0.001,0.779413675915924,1,8,32,3,2
272,0.03440786651158452,011e8_00272,2,2,0.001,0.7111987394813751,1,4,8,1,3
519,0.034409168632886226,011e8_00519,2,2,0.01,0.6337003012978392,1,8,64,3,1
384,0.03442590473740697,011e8_00384,2,2,0.01,0.453037679236757,1,4,64,3,1
236,0.034426172922009154,011e8_00236,2,2,0.001,0.6481958661131443,1,2,64,3,3
66,0.0344332668518252,011e8_00066,2,2,0.01,0.26885350006640296,1,1,32,2,1
411,0.03443642116876226,011e8_00411,2,2,0.001,0.16410474500264433,1,8,32,1,1
386,0.03447427541719976,011e8_00386,2,2,0.01,0.3150017901677858,1,4,64,3,3
1932,0.03449513182770088,011e8_01932,3,2,0.1,0.8612694156079864,2,4,128,1,1
192,0.03451864755728387,011e8_00192,2,2,0.001,0.45827584694123025,1,2,128,2,1
462,0.034523039040568256,011e8_00462,2,2,0.001,0.6406160294889182,1,8,128,2,1
423,0.03453275344820812,011e8_00423,2,2,0.01,0.5548554373345927,1,8,16,1,1
60,0.034534366958275504,011e8_00060,2,2,0.01,0.4809540091191965,1,1,8,2,1
365,0.03453830351308407,011e8_00365,2,2,0.001,0.8835009614084564,1,4,16,3,3
598,0.0345501024402727,011e8_00598,2,2,0.001,0.6425636488713133,2,1,128,2,2
1827,0.034580117362415536,011e8_01827,3,2,0.01,0.4351792774383688,2,2,128,2,1
362,0.034596278244976374,011e8_00362,2,2,0.001,0.786525899379943,1,4,8,3,3
1804,0.03459875117445005,011e8_01804,3,2,0.001,0.17233705507991115,2,2,16,2,2
474,0.0345994132882055,011e8_00474,2,2,0.01,0.8199517540825245,1,8,64,2,1
1936,0.03460645769907656,011e8_01936,3,2,0.001,0.2342788903990922,2,4,8,2,2
430,0.03460861520192071,011e8_00430,2,2,0.01,0.5480825994932371,1,8,64,1,2
